                                        Waterbody                 Watershed  avg_risk_score  percent_unsafe  severe_cases
122                                   Jemima Pond                  Cape Cod        1.320000       96.000000             6
46                                   Mashpee Pond                  Cape Cod        1.311111       67.777778            54
752                                     Card Pond                Housatonic        1.307692      108.333333             1
1260                                Millers River                   Millers        1.307692      100.000000             2
736                                Rosemary Brook                   Charles        1.300000       70.000000             0
269                                  Crystal Lake                Blackstone        1.294118      100.000000             0
100              Wankinco River/Parker Mills Pond              Buzzards Bay        1.272727       72.727273             7
1298                                   Penn Brook                    Parker        1.250000      100.000000             1
35                                   Ashumet Pond                  Cape Cod        1.250000       62.500000             4
150                                Nemasket River                   Taunton        1.250000      100.000000             0
158                                Nemasket River                   Taunton        1.250000       75.000000             0
71                                Stillwater Pond                  Cape Cod        1.239130       69.565217            29
1204                                Concord River          Concord (SuAsCo)        1.222222      128.571429             0
995                                  Hawkes Brook             North Coastal        1.222222      112.500000             0
562                                    Dunn Brook                  Chicopee        1.222222       77.777778             3
1033                                Proctor Brook             North Coastal        1.222222      112.500000             0
866                                    Damon Pond                 Westfield        1.214286      100.000000             3
1192                            Unnamed Tributary                 Shawsheen        1.200000       80.000000             0
138                                Nemasket River                   Taunton        1.200000      100.000000             1
1314                                 Crystal Lake                 Merrimack        1.195652       65.217391            18
590                                     Farm Pond                   Charles        1.181818      110.000000             2
92                                  Leonards Pond              Buzzards Bay        1.166667       83.333333             1
897                               Spot Pond Brook                    Mystic        1.166667       83.333333             0
1047                                 Windsor Pond                 Westfield        1.162162       62.162162            13
94                                     Marys Pond              Buzzards Bay        1.161290       80.645161             7
1101                                Ipswich River                   Ipswich        1.153846       84.615385             2
1149                                 Beaver Brook                   Millers        1.153846      100.000000             0
97                                     Marys Pond              Buzzards Bay        1.153846       92.307692             2
1268                                 Priest Brook                   Millers        1.152174      104.545455             0
51                                   Hamblin Pond                  Cape Cod        1.150000       65.000000             9
655                                Waushacum Pond          Concord (SuAsCo)        1.142857       85.714286             3
297                                    Lake Pearl                   Charles        1.137931       72.413793            11
1026                         Lower Crow Hill Pond                    Nashua        1.133333      100.000000             0
365                                Cleveland Pond                   Taunton        1.133333       66.666667             7
1265                                Millers River                   Millers        1.133333       93.333333             0
1091                                Mahoney Brook                   Millers        1.125000      100.000000             0
717                           Little Chauncy Pond          Concord (SuAsCo)        1.120000       60.000000            11
137                                   Dunham Pond              Buzzards Bay        1.111111       77.777778             4
201                                  Scotts Brook                  Ten Mile        1.111111      100.000000             2
572                                 Dopping Brook                   Charles        1.100000       80.000000             1
842                                  Beaver Brook                   Charles        1.100000      100.000000             0
105                                    Cole River    Mount Hope Bay (Shore)        1.100000       88.888889             0
53                                   Shubael Pond                  Cape Cod        1.097561       58.536585            19
1031                             Goldthwait Brook             North Coastal        1.090909      100.000000             0
85                                 Sippican River              Buzzards Bay        1.083333      100.000000             0
279                                  Webster Lake                    French        1.078431       72.549020            22
98                                      Flax Pond                  Cape Cod        1.076923       76.923077             4
366                               Reservoir No. 6                Blackstone        1.047619      100.000000             0
814                                     Lily Pond                    Nashua        1.047619      100.000000             0
1274                                  Stiles Pond                   Ipswich        1.040000       60.000000            11
482                          Upper Spectacle Pond                Farmington        1.034483       75.862069            21
272                                   Vinica Pond                  Chicopee        1.000000       72.727273             3
1183                                  Stony Brook                 Merrimack        1.000000      100.000000             0
1158                      East Branch Tully River                   Millers        1.000000      110.000000             0
1316                                Cobbler Brook                 Merrimack        1.000000       66.666667             0
1318                               Smallpox Brook             North Coastal        1.000000       88.888889             0
522                                Neponset River                  Neponset        1.000000      100.000000             0
1135                                 Beaver Brook          Concord (SuAsCo)        1.000000      100.000000             0
530                                    Dark Brook                Blackstone        1.000000       83.333333             0
1154                                  Stony Brook                 Merrimack        1.000000      100.000000             0
456                             Quacumquasit Pond                  Chicopee        1.000000       56.666667            22
303                             Unnamed Tributary                Blackstone        1.000000      100.000000             0
464                                  Potash Brook                 Westfield        1.000000      125.000000             0
452                                     Buck Pond                 Westfield        1.000000       71.428571            11
450                                  Potash Brook                 Westfield        1.000000      125.000000             0
1224                               Lawrence Brook                   Millers        1.000000      100.000000             0
1225                              Shawsheen River                 Shawsheen        1.000000      100.000000             0
1279                              Shawsheen River                 Shawsheen        1.000000      100.000000             0
1276                   North Branch Millers River                   Millers        1.000000      100.000000             0
533                                    Dark Brook                Blackstone        1.000000      100.000000             0
356                               Steamburg Brook                Blackstone        1.000000      100.000000             0
1270                                  Boyce Brook                   Millers        1.000000      100.000000             0
372                                 Charles River                   Charles        1.000000       88.888889             0
1275                      East Branch Tully River                   Millers        1.000000      100.000000             0
800                                 Charles River                   Charles        1.000000       54.545455             0
564                             Unnamed Tributary                  Chicopee        1.000000       50.000000             1
537                                  Accord Brook           Weymouth & Weir        1.000000      100.000000             0
1076                                  Crane Brook             North Coastal        1.000000      100.000000             0
702                             Unnamed Tributary          Concord (SuAsCo)        1.000000      100.000000             0
892                                   Great Brook          Concord (SuAsCo)        1.000000       66.666667             0
713                                    Hurd Brook                   Charles        1.000000      100.000000             0
715                             Unnamed Tributary                   Charles        1.000000      100.000000             0
721                               Poor Farm Brook                Blackstone        1.000000      100.000000             0
734                                  Jamaica Pond                   Charles        1.000000       50.000000             2
890                                  Munroe Brook                    Mystic        1.000000      100.000000             0
876                                    Mill Brook                    Mystic        1.000000      100.000000             0
740                                 Assabet River          Concord (SuAsCo)        1.000000       80.000000             0
220                                   Rocky Brook                 Quinebaug        1.000000      100.000000             0
774                                     Hop Brook               Connecticut        1.000000       80.000000             0
788                             Asnebumskit Brook                    Nashua        1.000000       50.000000             0
793                                   Muddy Brook                  Chicopee        1.000000       50.000000             0
839                                     Hog Brook          Concord (SuAsCo)        1.000000       50.000000             0
829                                     Run Brook          Concord (SuAsCo)        1.000000      100.000000             0
699                               Coal Mine Brook                Blackstone        1.000000      100.000000             0
893                               Burnshirt River                  Chicopee        1.000000      100.000000             0
640                                 Furnace Brook           Weymouth & Weir        1.000000      100.000000             0
